LAST_NAME;PERSONAL_PHOTO;NAME;SECOND_NAME;WORK_POSITION;EMAIL;PERSONAL_BIRTHDAY;PERSONAL_GENDER;WORK_PHONE;UF_PHONE_INNER;PERSONAL_MOBILE;PERSONAL_ICQ;LOGIN;IBLOCK_SECTION_NAME_1;IBLOCK_SECTION_NAME_2;IBLOCK_SECTION_NAME_3;IBLOCK_SECTION_NAME_4
Ившина;b7a/42-17948709.gif;Мария;Николаевна;IT-специалист;m.ivshina@example.com;29.04.1984;F;+7 495 188 46 29;46 29;;431-874-61;m.ivshina;Московский филиал;IT-департамент;;
Горетов;288/1.jpg;Андрей;Степанович;Начальник охраны;a.goretov@example.com;01.01.1980;M;123-45-67;123-45-67;987-65-76;567-342-333;a.goretov;Московский филиал;Департамент службы безопасности;;
Ерошкин;972/2.jpg;Николай;Игоревич;Заместитель начальника охраны;n.eroshkin@example.com;02.01.1973;M;123-45-67;123-45-67;639-25-84;346-734-285;n.eroshkin;Московский филиал;Департамент службы безопасности;;
Ларюхина;2ca/3.jpg;Оксана;Евгениевна;Охранник;o.laryuhina@example.com;03.01.1954;F;123-43-25;123-45-67;773-53-76;;o.laryuhina;Московский филиал;Департамент службы безопасности;;
Лутошкин;5c4/4.jpg;Егор;Борисович;Охранник;e.lutoshkin@example.com;04.01.1956;M;123-65-34;235-34-52;435-21-68;;e.lutoshkin;Московский филиал;Департамент службы безопасности;;
Мамонтов;cf2/5.jpg;Станислав;Львович;Охранник;s.mamontov@example.com;05.01.1963;M;634-48-35;123-45-67;365-25-71;;s.mamontov;Московский филиал;Департамент службы безопасности;;
Назимов;c3e/42-17219855.gif;Вячеслав;Алексеевич;Охранник;v.nazimov@example.com;06.01.1982;M;345-23-34;123-45-67;435-23-78;432-159-999;v.nazimov;Московский филиал;Департамент службы безопасности;;
Оношкин;cd1/7.jpg;Анатолий;Романович;Охранник;a.onoshkin@example.com;07.01.1976;M;322-25-13;123-45-67;243-35-67;324-679;a.onoshkin;Московский филиал;Департамент службы безопасности;;
Фефелов;99c/8.jpg;Борис;Андреевич;Охранник;b.fefelov@example.com;08.01.1982;M;346-32-65;123-45-67;132-75-73;345-231-238;b.fefelov;Московский филиал;Департамент службы безопасности;;
Бандурин;274/9.jpg;Станислав;Станиславович;Генеральный директор;s.bandurin@example.com;09.01.1963;M;445-32-12;37;623-43-65;123-854;s.bandurin;Московский филиал;Дирекция;;
Панкрашев;287/73985274.gif;Леонид;Данилович;Заместитель генерального директора;l.pankrashev@example.com;10.01.1974;M;425-24-65;36;2436-65-46;123-253;l.pankrashev;Московский филиал;Дирекция;;
Петякина;aae/11.jpg;Кира;Вячеславовна;секретарь;k.petyakina@example.com;11.01.1985;F;231-22-23;10;235-23-12;123-256-662;k.petyakina;Московский филиал;Дирекция;;
